seq,ax,ay,az,gx,gy,gz,label
4,-0.008057,-0.107666,0.894043,-29.000000,-101.748093,-28.870230,A
4,0.026855,-0.122314,0.794434,-19.106871,-100.664124,-30.022902,A
4,0.074219,-0.100098,0.699463,-16.984734,-100.793892,-30.465649,A
4,0.082275,-0.120605,0.700684,-16.603054,-101.145035,-33.045803,A
4,0.146729,-0.133057,0.574951,-10.816793,-97.274811,-33.282444,A
4,0.160156,-0.093750,0.494385,-3.068702,-91.114502,-30.900763,A
4,0.201904,-0.133545,0.380371,-1.961832,-81.809158,-29.511450,A
4,0.235596,-0.125000,0.265869,-3.236641,-68.480919,-30.534351,A
4,0.256104,-0.141357,0.181885,-3.564885,-51.824429,-29.725191,A
4,0.291504,-0.215576,0.129150,4.160306,-34.656490,-30.183207,A
4,0.331787,-0.207764,0.064941,16.282442,-16.236641,-30.465649,A
4,0.389648,-0.147949,-0.010010,20.465649,4.671756,-33.938931,A
4,0.439209,-0.052979,-0.073975,18.511450,29.755726,-31.351145,A
4,0.417480,-0.062500,-0.028809,4.770992,53.244274,-32.114502,A
4,0.375488,-0.017578,0.053223,-11.580153,75.442749,-35.854961,A
4,0.298584,0.073975,0.176758,-21.396946,99.618324,-30.763359,A
4,0.185791,-0.021973,0.376953,-23.511450,117.099236,-22.656488,A
4,0.087646,-0.059814,0.562012,-23.725191,124.625954,-25.603054,A
4,0.052246,-0.009033,0.666748,-25.465649,122.282440,-26.480917,A
4,0.046631,-0.093018,0.703369,-24.007633,119.381676,-23.198473,A
4,0.054688,-0.139160,0.740479,-10.083969,130.160309,-25.725191,A
4,0.014893,-0.068848,0.795410,-3.870229,141.618317,-25.473282,A
4,-0.046875,-0.151611,0.872803,-0.824427,155.709930,-30.862595,A
4,-0.105469,-0.124756,1.047363,5.832061,170.931305,-42.129772,A
4,-0.246094,0.110352,1.393799,9.625955,155.145035,-37.244274,A
4,-0.263672,0.039551,1.462402,8.946565,150.702286,-31.610687,A
4,-0.346191,0.099854,1.802979,7.748092,138.549622,-34.946564,A
4,-0.483643,0.381348,1.999939,11.450381,116.923668,-22.404581,A
4,-0.576416,0.359131,1.999939,18.229008,72.572517,-2.709924,A
4,-0.641113,0.493164,1.999939,23.595419,32.160305,4.580153,A
4,-0.636963,0.656738,1.999939,17.435114,-27.801527,22.114504,A
4,-0.488525,0.570557,1.975830,24.129770,-61.030533,47.374046,A
4,-0.416748,0.604736,1.734375,26.473282,-75.450378,60.198475,A
4,-0.374023,0.628174,1.540771,5.328244,-91.847328,72.969467,A
4,-0.310059,0.513428,1.318359,-18.877863,-106.572517,86.687019,A
4,-0.205322,0.380127,1.055420,-29.282442,-114.984734,95.061066,A
4,-0.089844,0.271729,0.799316,-35.603054,-109.282440,101.977097,A
4,0.001465,0.155518,0.649414,-43.458015,-96.396950,104.122139,A
4,0.043213,0.022705,0.555908,-48.954197,-82.748093,107.267174,A
4,0.067627,-0.152588,0.500732,-50.801525,-63.267174,105.137405,A
4,0.063721,-0.308594,0.485596,-48.450382,-48.251907,97.862595,A
4,0.069336,-0.398926,0.422119,-49.152672,-34.068703,92.229004,A
4,0.059570,-0.664063,0.395508,-45.717556,-15.396947,81.244278,A
4,0.004639,-0.750977,0.467773,-40.755726,4.229008,61.687023,A
4,-0.102051,-0.755371,0.644531,-43.885498,12.664123,42.129772,A
4,-0.155273,-0.813721,0.742676,-48.358780,10.022901,28.480917,A
4,-0.159180,-0.937988,0.800049,-47.427483,9.389313,11.190840,A
4,-0.138916,-1.008301,0.788574,-40.045803,9.625955,-7.381680,A
4,-0.113037,-1.046143,0.760742,-26.839695,16.900763,-27.870230,A
4,-0.139160,-0.960205,0.880371,-9.236641,19.893129,-46.473282,A
4,-0.112793,-0.859619,0.860352,6.030534,20.465649,-61.297710,A
4,-0.094238,-0.770020,0.885742,14.671756,20.534351,-76.343513,A
4,-0.097656,-0.695313,0.891602,14.587787,21.259542,-92.923668,A
4,-0.120117,-0.620605,0.925293,18.595419,23.946566,-106.656487,A
4,-0.162354,-0.445801,0.996338,28.839695,22.778625,-112.374046,A
4,-0.186768,-0.367920,1.049561,35.358780,17.778625,-119.435112,A
4,-0.189941,-0.192627,1.083740,41.854961,12.786260,-124.312981,A
4,-0.189697,-0.117920,1.072754,46.427483,5.503817,-124.068703,A
4,-0.161865,0.059814,1.049072,55.511452,-3.480916,-120.267174,A
4,-0.091064,0.203613,0.939941,54.946564,-3.900763,-113.793892,A
4,-0.033203,0.338867,0.914063,44.297710,-0.305344,-105.305344,A
4,-0.008301,0.458740,0.910400,35.656490,0.480916,-97.480919,A
4,0.025879,0.577148,0.867188,24.297710,0.496183,-81.786263,A
4,0.066650,0.577881,0.839600,9.022901,7.824428,-62.862595,A
4,0.049805,0.488281,0.914307,3.290076,14.022901,-48.748093,A
4,0.023438,0.445557,0.997803,-1.175573,13.442748,-39.007633,A
4,0.008057,0.446777,1.052979,-8.824428,5.809160,-31.328245,A
4,0.053955,0.417480,0.953613,-16.038168,0.076336,-20.709923,A
4,0.090576,0.273193,0.932861,-18.938931,4.519084,-11.702291,A
4,0.104492,0.154785,0.964111,-12.198473,8.541985,-6.465649,A
5,-0.115234,0.056152,0.829102,-14.053435,14.862596,-3.519084,A
5,-0.145752,0.022705,0.906982,-14.816793,19.435114,-3.778626,A
